entity_id,state,last_changed
sensor.ivy_cleaning_time,4.5,2026-08-01T21:07:18.503Z
sensor.ivy_cleaning_time,5.03333333333333,2026-08-01T21:07:49.500Z
sensor.ivy_cleaning_time,0.466666666666667,2026-08-02T06:18:08.816Z
sensor.ivy_cleaning_time,0.716666666666667,2026-08-02T06:18:23.660Z
sensor.ivy_cleaning_time,1.0,2026-08-02T06:18:39.766Z
sensor.ivy_cleaning_time,1.23333333333333,2026-08-02T06:18:54.667Z
sensor.ivy_cleaning_time,1.51666666666667,2026-08-02T06:19:10.471Z
sensor.ivy_cleaning_time,1.63333333333333,2026-08-02T06:19:25.645Z
sensor.ivy_cleaning_time,2.0,2026-08-02T06:19:41.694Z
sensor.ivy_cleaning_time,2.28333333333333,2026-08-02T06:19:56.652Z
sensor.ivy_cleaning_time,2.5,2026-08-02T06:20:12.647Z
sensor.ivy_cleaning_time,2.73333333333333,2026-08-02T06:20:27.645Z
sensor.ivy_cleaning_time,3.03333333333333,2026-08-02T06:20:43.551Z
sensor.ivy_cleaning_time,3.21666666666667,2026-08-02T06:20:58.932Z
sensor.ivy_cleaning_time,3.5,2026-08-02T06:21:14.456Z
sensor.ivy_cleaning_time,3.88333333333333,2026-08-02T06:21:45.508Z
sensor.ivy_cleaning_time,0.0,2026-08-02T06:26:12.532Z
sensor.ivy_cleaning_time,0.5,2026-08-02T06:26:27.691Z
sensor.ivy_cleaning_time,1.0,2026-08-02T06:26:43.694Z
sensor.ivy_cleaning_time,1.26666666666667,2026-08-02T06:26:58.651Z
sensor.ivy_cleaning_time,1.51666666666667,2026-08-02T06:27:14.660Z
sensor.ivy_cleaning_time,1.75,2026-08-02T06:27:29.656Z
sensor.ivy_cleaning_time,2.0,2026-08-02T06:27:45.475Z
sensor.ivy_cleaning_time,2.23333333333333,2026-08-02T06:28:00.676Z
sensor.ivy_cleaning_time,2.53333333333333,2026-08-02T06:28:16.475Z
sensor.ivy_cleaning_time,3.0,2026-08-02T06:28:47.641Z
sensor.ivy_cleaning_time,3.25,2026-08-02T06:29:03.643Z
sensor.ivy_cleaning_time,0.0,2026-08-02T06:30:46.616Z
sensor.ivy_cleaning_time,0.5,2026-08-02T06:31:01.694Z
sensor.ivy_cleaning_time,1.0,2026-08-02T06:31:17.494Z
sensor.ivy_cleaning_time,1.26666666666667,2026-08-02T06:31:32.667Z
sensor.ivy_cleaning_time,1.51666666666667,2026-08-02T06:31:48.628Z
sensor.ivy_cleaning_time,1.78333333333333,2026-08-02T06:32:03.645Z
sensor.ivy_cleaning_time,2.03333333333333,2026-08-02T06:32:19.458Z
sensor.ivy_cleaning_time,2.21666666666667,2026-08-02T06:32:34.653Z
sensor.ivy_cleaning_time,2.5,2026-08-02T06:32:50.561Z
sensor.ivy_cleaning_time,2.71666666666667,2026-08-02T06:33:05.648Z
sensor.ivy_cleaning_time,3.01666666666667,2026-08-02T06:33:21.584Z
sensor.ivy_cleaning_time,3.33333333333333,2026-08-02T06:33:36.710Z
sensor.ivy_cleaning_time,3.5,2026-08-02T06:33:52.614Z
sensor.ivy_cleaning_time,3.76666666666667,2026-08-02T06:34:07.656Z
sensor.ivy_cleaning_time,4.11666666666667,2026-08-02T06:34:23.591Z
sensor.ivy_cleaning_time,4.25,2026-08-02T06:34:38.681Z
sensor.ivy_cleaning_time,4.5,2026-08-02T06:34:54.458Z
sensor.ivy_cleaning_time,4.9,2026-08-02T06:35:19.891Z
sensor.ivy_last_charge_duration,45.29,2026-07-31T07:00:00.000Z
sensor.ivy_last_charge_duration,23.85,2026-08-01T03:08:22.108Z
sensor.ivy_last_charge_duration,2.35,2026-08-01T03:11:14.304Z
sensor.ivy_last_charge_duration,1.95,2026-08-01T03:15:00.324Z
sensor.ivy_last_charge_duration,26.5,2026-08-01T03:45:16.404Z
sensor.ivy_last_charge_duration,1.0,2026-08-01T20:44:24.669Z
sensor.ivy_last_charge_duration,8.01,2026-08-01T21:02:18.702Z
sensor.ivy_last_charge_duration,6.5,2026-08-01T21:15:20.689Z
sensor.ivy_last_charge_duration,3.93,2026-08-02T06:26:12.536Z
sensor.ivy_last_charge_duration,9.03,2026-08-02T06:45:23.670Z
sensor.ivy_total_cleaning_count,unavailable,2026-07-31T07:00:00.000Z
sensor.ivy_total_cleaning_count,314,2026-08-01T02:44:30.848Z
sensor.ivy_total_cleaning_count,315,2026-08-01T03:08:22.099Z
sensor.ivy_total_cleaning_count,316,2026-08-01T03:12:32.343Z
sensor.ivy_total_cleaning_count,317,2026-08-01T03:15:42.249Z
sensor.ivy_total_cleaning_count,318,2026-08-01T03:18:46.218Z
sensor.ivy_total_cleaning_count,319,2026-08-01T20:40:07.044Z
sensor.ivy_total_cleaning_count,320,2026-08-01T20:46:19.585Z
sensor.ivy_total_cleaning_count,321,2026-08-01T20:47:36.258Z
sensor.ivy_total_cleaning_count,322,2026-08-01T20:53:46.984Z
sensor.ivy_total_cleaning_count,323,2026-08-01T21:07:49.501Z
sensor.ivy_total_cleaning_count,324,2026-08-02T06:21:45.510Z
sensor.ivy_total_cleaning_count,325,2026-08-02T06:29:03.645Z
sensor.ivy_total_cleaning_count,326,2026-08-02T06:35:50.599Z
number.ivy_bathroom_order,2.0,2026-07-31T07:00:00.000Z
number.ivy_dining_room_order,3.0,2026-07-31T07:00:00.000Z
number.ivy_livingroom_order,1.0,2026-07-31T07:00:00.000Z
number.ivy_entryway_order,5.0,2026-07-31T07:00:00.000Z
number.ivy_heidi_chris_order,6.0,2026-07-31T07:00:00.000Z
number.ivy_office_order,7.0,2026-07-31T07:00:00.000Z
number.ivy_bryan_order,2.0,2026-07-31T07:00:00.000Z
number.ivy_hallway_order,9.0,2026-07-31T07:00:00.000Z
number.ivy_cat_room_order,10.0,2026-07-31T07:00:00.000Z
number.ivy_kitchen_order,1.0,2026-07-31T07:00:00.000Z
sensor.ivy_charge_cycles,2.4,2026-07-31T07:00:00.000Z
sensor.ivy_charge_cycles,2.41,2026-08-01T03:16:13.286Z
sensor.ivy_charge_cycles,2.42,2026-08-01T03:17:39.395Z
sensor.ivy_charge_cycles,2.43,2026-08-01T03:18:46.227Z
sensor.ivy_charge_cycles,2.44,2026-08-01T20:38:47.799Z
sensor.ivy_charge_cycles,2.45,2026-08-01T20:39:49.735Z
sensor.ivy_charge_cycles,2.46,2026-08-01T20:46:34.722Z
sensor.ivy_charge_cycles,2.47,2026-08-01T20:47:36.263Z
sensor.ivy_charge_cycles,2.48,2026-08-01T20:50:39.686Z
sensor.ivy_charge_cycles,2.49,2026-08-01T20:51:41.675Z
sensor.ivy_charge_cycles,2.5,2026-08-01T20:52:43.664Z
sensor.ivy_charge_cycles,2.51,2026-08-01T20:53:46.993Z
